subject,session_idx,session_name,n_eligible_frames,peak_bin_mode,peak_bin_min,peak_bin_max,peak_hz_median,energy_retention_median,roi_to_total_median,peak_share_median,n_peak_share_missing,all_variants_finite
1,1,10am,98,5,4,5,4876.722846441948,0.23160465324156068,0.9314804817074349,0.47036904543298363,0,True
1,2,12pm,100,5,5,5,4876.722846441948,0.40971642606810965,0.9519884480209002,0.5026601342112125,0,True
1,3,2pm,100,6,5,6,5852.0674157303365,0.2801942439067767,0.9148069161816512,0.49345610979141685,0,True
2,0,8am,100,6,6,6,5852.0674157303365,0.2607467552904337,0.9064695466364647,0.5743653465667203,0,True
2,1,10am,100,6,6,6,5852.0674157303365,0.46942922116132235,0.9172278641864773,0.5490633430140601,0,True
2,2,12pm,100,4,4,4,3901.378277153558,0.482347019466816,0.8671704277397085,0.611637731750234,0,True
2,3,2pm,100,6,6,6,5852.0674157303365,0.49610117875736603,0.9047449241352918,0.5725726915610828,0,True
2,4,4pm,100,5,5,5,4876.722846441948,0.5342390556596424,0.9517062363219618,0.4954384052981907,0,True
3,0,8am,100,5,5,5,4876.722846441948,0.305558965970884,0.96056885691936,0.5111465452090201,0,True
3,2,12pm,99,5,5,6,4876.722846441948,0.25569541057800776,0.9390117464348577,0.4935344544293372,0,True
3,3,2pm,100,5,5,5,4876.722846441948,0.515645633685707,0.9657761375873084,0.5244760093128418,0,True
3,4,4pm,100,5,5,5,4876.722846441948,0.587344212105319,0.9593453570445005,0.5172414710212577,0,True
4,0,8am,96,5,5,5,4876.722846441948,0.23033958539736907,0.9621617913594485,0.5126013210071226,0,True
4,1,10am,97,6,6,6,5852.0674157303365,0.3567820220080459,0.9017512326749011,0.5877106568256859,0,True
4,2,12pm,66,6,6,6,5852.0674157303365,0.3729793767738812,0.8274417554611442,0.7285379920526449,0,True
4,4,4pm,92,6,5,6,5852.0674157303365,0.34906814398810115,0.9272711525588585,0.49667504038426713,0,True
5,0,8am,100,6,5,6,5852.0674157303365,0.20314423147414312,0.8587969301515259,0.40987484321112955,0,True
5,1,10am,100,5,5,5,4876.722846441948,0.17891749447231295,0.9429153120245585,0.4851930920552444,0,True
5,2,12pm,100,6,5,6,5852.0674157303365,0.2412338431249994,0.8420024721327596,0.5020195802437755,0,True
5,4,4pm,100,5,5,5,4876.722846441948,0.09479604711406259,0.9570523152692729,0.5324490728717676,0,True
6,1,10am,100,5,5,5,4876.722846441948,0.3023057990350897,0.9708044549750645,0.5498763070523268,0,True
6,2,12pm,100,5,4,6,4876.722846441948,0.4546355732014685,0.9447772525894808,0.49516635134498876,0,True
6,3,2pm,100,5,5,5,4876.722846441948,0.46053695422305174,0.9699120425262782,0.5382301069758588,0,True
6,4,4pm,100,5,5,5,4876.722846441948,0.32798347488869306,0.9675025745572999,0.5504508879234582,0,True
7,0,8am,100,5,5,5,4876.722846441948,0.31674706965062144,0.9774818666624461,0.5585936780580008,0,True
7,1,10am,100,5,5,5,4876.722846441948,0.5202547838653502,0.9623673026097147,0.5222860242524463,0,True
7,2,12pm,100,5,5,5,4876.722846441948,0.26202550935941393,0.965193743288203,0.5265436958330987,0,True
7,3,2pm,100,6,5,6,5852.0674157303365,0.3752045369874974,0.9144615990698098,0.5367170752798935,0,True
7,4,4pm,100,6,6,6,5852.0674157303365,0.27609709690325046,0.9104909982754992,0.5351381496421747,0,True
8,0,8am,74,5,5,5,4876.722846441948,0.2007583733841541,0.977000751769074,0.5500926456660871,0,True
8,1,10am,100,5,5,6,4876.722846441948,0.3331775872821082,0.9457100324087735,0.501905006784131,0,True
8,2,12pm,88,5,5,6,4876.722846441948,0.28375711873503,0.9697757243378582,0.5399680153265711,0,True
8,3,2pm,100,5,5,5,4876.722846441948,0.4286784037570772,0.9615635303712002,0.5241018124920198,0,True
8,4,4pm,100,5,5,6,4876.722846441948,0.3279645064652693,0.9456389042824849,0.4864797855723815,0,True
9,0,8am,100,5,5,6,4876.722846441948,0.6274491363237114,0.9524621206343484,0.5011232023303556,0,True
9,1,10am,100,5,5,6,4876.722846441948,0.6398946872486414,0.9456481281977802,0.5101776731330941,0,True
9,2,12pm,100,5,4,6,4876.722846441948,0.5880756156493074,0.9517696289043858,0.510603064715798,0,True
9,3,2pm,100,6,6,6,5852.0674157303365,0.32863413597739277,0.7752670153368797,0.7385274140598959,0,True
9,4,4pm,100,6,6,6,5852.0674157303365,0.4550692614871444,0.8871564311809171,0.6136941716981591,0,True
10,0,8am,100,5,5,6,4876.722846441948,0.4837381147524636,0.9427118622526275,0.49136389035342143,0,True
10,1,10am,100,5,4,6,4876.722846441948,0.5647921423887651,0.9439732852846958,0.5077758215449181,0,True
10,2,12pm,100,6,6,6,5852.0674157303365,0.6051377253936249,0.8841245506560456,0.6133251615164537,0,True
10,3,2pm,100,6,5,6,5852.0674157303365,0.40658121936602776,0.8982120513391612,0.4538804795149832,0,True
10,4,4pm,100,5,5,6,4876.722846441948,0.1636852741120307,0.9309789944658453,0.5288335307698067,0,True
11,0,8am,100,5,4,6,4876.722846441948,0.49048991870144315,0.9492877301075614,0.4946010078796318,0,True
11,1,10am,100,5,4,5,4876.722846441948,0.06063334448581931,0.8900323328183719,0.4470251323387016,0,True
