subject,session_idx,session_name,rel_path,n_frames,n_pass,n_fail_any,n_nan_inf,n_flatline,n_low_in_band,n_rms_flagged,min_pass,eligible
1,0,8am,subject_1_8am.mat,100,35,65,0,0,65,89,50,False
1,1,10am,subject_1_10am.mat,100,98,2,0,0,2,89,50,True
1,2,12pm,subject_1_12pm.mat,100,100,0,0,0,0,60,50,True
1,3,2pm,subject_1_2pm.mat,100,100,0,0,0,0,91,50,True
1,4,4pm,subject_1_4pm.mat,100,1,99,0,0,99,0,50,False
2,0,8am,subject_2_8am.mat,100,100,0,0,0,0,3,50,True
2,1,10am,subject_2_10am.mat,100,100,0,0,0,0,26,50,True
2,2,12pm,subject_2_12pm.mat,100,100,0,0,0,0,76,50,True
2,3,2pm,subject_2_2pm.mat,100,100,0,0,0,0,95,50,True
2,4,4pm,subject_2_4pm.mat,100,100,0,0,0,0,87,50,True
3,0,8am,subject_3_8am.mat,100,100,0,0,0,0,5,50,True
3,1,10am,subject_3_10am.mat,100,37,63,0,0,63,5,50,False
3,2,12pm,subject_3_12pm.mat,100,99,1,0,0,1,64,50,True
3,3,2pm,subject_3_2pm.mat,100,100,0,0,0,0,39,50,True
3,4,4pm,subject_3_4pm.mat,100,100,0,0,0,0,81,50,True
4,0,8am,subject_4_8am.mat,100,96,4,0,0,4,19,50,True
4,1,10am,subject_4_10am.mat,100,97,3,0,0,3,59,50,True
4,2,12pm,subject_4_12pm.mat,100,66,34,0,0,34,100,50,True
4,3,2pm,subject_4_2pm.mat,100,35,65,0,0,65,100,50,False
4,4,4pm,subject_4_4pm.mat,100,92,8,0,0,8,30,50,True
5,0,8am,subject_5_8am.mat,100,100,0,0,0,0,4,50,True
5,1,10am,subject_5_10am.mat,100,100,0,0,0,0,8,50,True
5,2,12pm,subject_5_12pm.mat,100,100,0,0,0,0,42,50,True
5,3,2pm,subject_5_2pm.mat,100,39,61,0,0,61,82,50,False
5,4,4pm,subject_5_4pm.mat,100,100,0,0,0,0,99,50,True
6,0,8am,subject_6_8am.mat,100,0,100,0,0,100,1,50,False
6,1,10am,subject_6_10am.mat,100,100,0,0,0,0,91,50,True
6,2,12pm,subject_6_12pm.mat,100,100,0,0,0,0,60,50,True
6,3,2pm,subject_6_2pm.mat,100,100,0,0,0,0,100,50,True
6,4,4pm,subject_6_4pm.mat,100,100,0,0,0,0,100,50,True
7,0,8am,subject_7_8am.mat,100,100,0,0,0,0,37,50,True
7,1,10am,subject_7_10am.mat,100,100,0,0,0,0,79,50,True
7,2,12pm,subject_7_12pm.mat,100,100,0,0,0,0,75,50,True
7,3,2pm,subject_7_2pm.mat,100,100,0,0,0,0,73,50,True
7,4,4pm,subject_7_4pm.mat,100,100,0,0,0,0,99,50,True
8,0,8am,subject_8_8am.mat,100,74,26,0,0,26,2,50,True
8,1,10am,subject_8_10am.mat,100,100,0,0,0,0,0,50,True
8,2,12pm,subject_8_12pm.mat,100,88,12,0,0,12,47,50,True
8,3,2pm,subject_8_2pm.mat,100,100,0,0,0,0,100,50,True
8,4,4pm,subject_8_4pm.mat,100,100,0,0,0,0,94,50,True
9,0,8am,subject_9_8am.mat,100,100,0,0,0,0,12,50,True
9,1,10am,subject_9_10am.mat,100,100,0,0,0,0,4,50,True
9,2,12pm,subject_9_12pm.mat,100,100,0,0,0,0,2,50,True
9,3,2pm,subject_9_2pm.mat,100,100,0,0,0,0,17,50,True
9,4,4pm,subject_9_4pm.mat,100,100,0,0,0,0,0,50,True
10,0,8am,subject_10_8am.mat,100,100,0,0,0,0,22,50,True
10,1,10am,subject_10_10am.mat,100,100,0,0,0,0,8,50,True
10,2,12pm,subject_10_12pm.mat,100,100,0,0,0,0,34,50,True
10,3,2pm,subject_10_2pm.mat,100,100,0,0,0,0,17,50,True
10,4,4pm,subject_10_4pm.mat,100,100,0,0,0,0,71,50,True
11,0,8am,subject_11_8am.mat,100,100,0,0,0,0,6,50,True
11,1,10am,subject_11_10am.mat,100,100,0,0,0,0,1,50,True
11,2,12pm,subject_11_12pm.mat,100,100,0,0,0,0,4,50,True
11,3,2pm,subject_11_2pm.mat,100,100,0,0,0,0,1,50,True
11,4,4pm,subject_11_4pm.mat,100,100,0,0,0,0,0,50,True
12,0,8am,subject_12_8am.mat,100,87,13,0,0,13,2,50,True
12,1,10am,subject_12_10am.mat,100,100,0,0,0,0,0,50,True
12,2,12pm,subject_12_12pm.mat,100,100,0,0,0,0,0,50,True
12,3,2pm,subject_12_2pm.mat,100,100,0,0,0,0,0,50,True
12,4,4pm,subject_12_4pm.mat,100,91,9,0,0,9,0,50,True
13,0,8am,subject_13_8am.mat,100,100,0,0,0,0,0,50,True
13,1,10am,subject_13_10am.mat,100,100,0,0,0,0,0,50,True
13,2,12pm,subject_13_12pm.mat,100,100,0,0,0,0,1,50,True
13,3,2pm,subject_13_2pm.mat,100,100,0,0,0,0,0,50,True
13,4,4pm,subject_13_4pm.mat,100,100,0,0,0,0,0,50,True
14,0,8am,subject_14_8am.mat,100,100,0,0,0,0,0,50,True
14,1,10am,subject_14_10am.mat,100,100,0,0,0,0,0,50,True
14,2,12pm,subject_14_12pm.mat,100,100,0,0,0,0,0,50,True
14,3,2pm,subject_14_2pm.mat,100,100,0,0,0,0,0,50,True
14,4,4pm,subject_14_4pm.mat,100,100,0,0,0,0,0,50,True
15,0,8am,subject_15_8am.mat,100,100,0,0,0,0,0,50,True
15,1,10am,subject_15_10am.mat,100,100,0,0,0,0,0,50,True
15,2,12pm,subject_15_12pm.mat,100,100,0,0,0,0,4,50,True
15,3,2pm,subject_15_2pm.mat,100,100,0,0,0,0,0,50,True
15,4,4pm,subject_15_4pm.mat,100,100,0,0,0,0,0,50,True
16,0,8am,subject_16_8am.mat,100,100,0,0,0,0,4,50,True
16,1,10am,subject_16_10am.mat,100,15,85,0,0,85,8,50,False
16,2,12pm,subject_16_12pm.mat,100,100,0,0,0,0,42,50,True
16,3,2pm,subject_16_2pm.mat,100,80,20,0,0,20,82,50,True
16,4,4pm,subject_16_4pm.mat,100,100,0,0,0,0,99,50,True
