subject,session_idx,session_name,rel_path,n_frames,n_pass,n_fail_any,n_nan_inf,n_flatline,n_low_in_band,min_pass,eligible,sha256,axis_spec_hash,axis_verdict,axis_G_fast,axis_G_chirp,axis_D_chirp,axis_D_fast
1,0,8am,subject_1_8am.mat,125,125,0,0,0,0,63,True,0c8e0231db4772151daaf5e412fcb10f3e97e6062d9434ef22a277c6b46583b2,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.22188927604889974,1.3182722680503558e-06,0.9999860082762958,0.5003999809959844
1,1,10am,subject_1_10am.mat,125,125,0,0,0,0,63,True,1cbcbaa1bf7cdded53694e007f9a7771bcba6f4a30a135f9a48ca7f2fdb011bd,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.20845185583414624,1.3039015452764492e-06,0.9999850194277993,0.5111639398564937
1,2,12pm,subject_1_12pm.mat,125,125,0,0,0,0,63,True,2f0b639dfe29bcf282395256e592a65276f30b05f4987fc0b05f205fed141301,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.2002188305996083,1.3228943951310158e-06,0.999982981914278,0.5313068096003781
1,3,2pm,subject_1_2pm.mat,125,125,0,0,0,0,63,True,b5f1d3be370813ae45e2a04afa0f1a8e753704fa6c765e8c0259b2e1cb907caa,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.22470661306305426,1.3196786487343467e-06,0.9999806425988849,0.48425477434286596
1,4,4pm,subject_1_4pm.mat,125,125,0,0,0,0,63,True,f24aeb269786c2ac4f75dea61dcff996c6442c02b60b7ce88e10f147b07b1e61,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.19940393539200502,1.31301444050163e-06,0.999981128028737,0.5460677154484509
2,0,8am,subject_2_8am.mat,125,0,125,0,0,125,63,False,f6ea145270097f276c3b69b4d7233ea6f8fa2714702e0eef72e470d7fb7d109d,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.1778016633503354,1.2897089563708969e-06,0.9999871077057649,0.591382869467338
2,1,10am,subject_2_10am.mat,125,125,0,0,0,0,63,True,51b83d4f2293f6387fa0cb9b5f4bdb916a023a1207e26b01653a2b23a7c7d0a6,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.21327935884177057,1.2873071860910958e-06,0.999985501148771,0.5298500480755082
2,2,12pm,subject_2_12pm.mat,125,125,0,0,0,0,63,True,9c1759aa6e3fa8c69ff464f404001789c23922081fe9ba48a197f7cd7cdfe3c9,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.2199400237477661,1.2863891819531578e-06,0.9999849267038353,0.5112140130741123
2,3,2pm,subject_2_2pm.mat,125,125,0,0,0,0,63,True,a43c298de0e8dbc2ec9044fad89c95d97fa66b81821f53a648f48439e3808300,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.23085491543438644,1.4469406870252153e-06,0.9999807650665827,0.47038870625386564
2,4,4pm,subject_2_4pm.mat,125,125,0,0,0,0,63,True,4cc68bf4428cfe11eafe8182cea091f0f8e63c34453dc5e0b9671123ebb49d39,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.23338539561941932,1.2951127504144665e-06,0.9999844921007844,0.46845154433324265
3,0,8am,subject_3_8am.mat,125,125,0,0,0,0,63,True,fd7157161c75301ac967847d6041fdd5f66977c4431a9f38a55050471e6ce818,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.22018445291442604,1.2982832630812219e-06,0.9999845785817946,0.5042256625271408
3,1,10am,subject_3_10am.mat,125,125,0,0,0,0,63,True,f650095278613b9c64edd86936752557a4c356a88eef5965ad6de728cf3f66f0,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.21423529299174074,1.33734018932043e-06,0.9999843846722334,0.5154859036955348
3,2,12pm,subject_3_12pm.mat,125,125,0,0,0,0,63,True,55ba20993bc9a979bace3a0a5aaf846daf4896a8f60b0010170387f694d266cc,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.25594267969729156,1.3070167725752984e-06,0.9999849694335261,0.4388988917643868
3,3,2pm,subject_3_2pm.mat,125,125,0,0,0,0,63,True,b2752c88022e3eb7be937bf8ef1385324f38f1ba32cbc2a4c4675b1952cfeca5,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.2272127011721247,1.3496127167599456e-06,0.9999844629040343,0.4935560730366048
3,4,4pm,subject_3_4pm.mat,125,125,0,0,0,0,63,True,47467853ce41680fdac58215a63c46b7958cd521591e33bf85a7db544ff82d21,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.20924365716786023,1.2751288171491853e-06,0.9999862432494302,0.513072127652653
4,0,8am,subject_4_8am.mat,125,125,0,0,0,0,63,True,871c5dfe7396f8a54ef2db7e370b36276455324530f6cb4a58df22348c0a9827,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.2408068324229599,1.500577628870291e-06,0.9999753341681757,0.46392180464812327
4,1,10am,subject_4_10am.mat,125,125,0,0,0,0,63,True,ce3924950d80fc83a3e18df3722c6dd99c1291fb065eec3f39debd714b476615,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.23723094066313674,1.2696671161436587e-06,0.9999849603319468,0.4822871742351516
4,2,12pm,subject_4_12pm.mat,125,125,0,0,0,0,63,True,ecc08993d65bae8d7d5d2dc18091054f303227409b0e774e9df92c369132f3fa,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.22917177885397103,1.2969322017656924e-06,0.9999846803692178,0.4932768348615835
4,3,2pm,subject_4_2pm.mat,125,125,0,0,0,0,63,True,9086feabd28e31cbf983c7aa9cfaff4eac6a9f49c83ca47d083b1da220a9746e,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.21340434252779905,1.322743305403254e-06,0.999982759201724,0.5138684744357453
4,4,4pm,subject_4_4pm.mat,125,125,0,0,0,0,63,True,41395819ad80f2da30a22cb607bdda013ab6155c35ddf0533d41cb4d2f4bcc0a,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.22346685126358495,1.2755375273759975e-06,0.9999843601038921,0.49614240399752074
5,0,8am,subject_5_8am.mat,125,125,0,0,0,0,63,True,e4d38346631d344b75c7ae95e2bc23bee986890d16a6d2fc880c3ad25e4005cb,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.25000608079846565,1.290511064610192e-06,0.999987302861167,0.4591229529699393
5,1,10am,subject_5_10am.mat,125,125,0,0,0,0,63,True,d97df7deb46c23c8c40c0d2a06185d5702073d9dbeb4c1df796a94138d96a1de,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.19611120691869424,1.2866648166801405e-06,0.9999828021868775,0.552642083769305
