subject,session_a_idx,session_a_name,session_b_idx,session_b_name,recorded_mass_kg,diagnostic_channel,diagnostic_role,tiling_idx,scattering_order,view,between_session_distance,between_distance_numerator,within_a,within_b,epsilon_distance_a,epsilon_distance_b,between_to_within_denominator,between_to_within_ratio,exactly_identical,common_path_count,common_vector_dimension,n_near_zero_path_blocks_a,n_near_zero_path_blocks_b,n_inactive_paths_a,n_inactive_paths_b,missing_reason
3,1,10am,2,12pm,64.200000000000003,mag,primary,0,0,within_path_shape,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,mag,primary,0,0,path_energy_composition,,,,,,,,,,,,,,,,not_applicable_single_path
3,1,10am,2,12pm,64.200000000000003,mag,primary,0,1,within_path_shape,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,mag,primary,0,1,path_energy_composition,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,mag,primary,0,2,within_path_shape,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,mag,primary,0,2,path_energy_composition,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,mag,primary,1,0,within_path_shape,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,mag,primary,1,0,path_energy_composition,,,,,,,,,,,,,,,,not_applicable_single_path
3,1,10am,2,12pm,64.200000000000003,mag,primary,1,1,within_path_shape,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,mag,primary,1,1,path_energy_composition,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,mag,primary,1,2,within_path_shape,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,mag,primary,1,2,path_energy_composition,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,mag,primary,2,0,within_path_shape,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,mag,primary,2,0,path_energy_composition,,,,,,,,,,,,,,,,not_applicable_single_path
3,1,10am,2,12pm,64.200000000000003,mag,primary,2,1,within_path_shape,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,mag,primary,2,1,path_energy_composition,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,mag,primary,2,2,within_path_shape,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,mag,primary,2,2,path_energy_composition,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,iq,sensitivity,0,0,within_path_shape,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,iq,sensitivity,0,0,path_energy_composition,,,,,,,,,,,,,,,,not_applicable_single_path
3,1,10am,2,12pm,64.200000000000003,iq,sensitivity,0,1,within_path_shape,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,iq,sensitivity,0,1,path_energy_composition,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,iq,sensitivity,0,2,within_path_shape,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,iq,sensitivity,0,2,path_energy_composition,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,iq,sensitivity,1,0,within_path_shape,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,iq,sensitivity,1,0,path_energy_composition,,,,,,,,,,,,,,,,not_applicable_single_path
3,1,10am,2,12pm,64.200000000000003,iq,sensitivity,1,1,within_path_shape,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,iq,sensitivity,1,1,path_energy_composition,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,iq,sensitivity,1,2,within_path_shape,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,iq,sensitivity,1,2,path_energy_composition,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,iq,sensitivity,2,0,within_path_shape,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,iq,sensitivity,2,0,path_energy_composition,,,,,,,,,,,,,,,,not_applicable_single_path
3,1,10am,2,12pm,64.200000000000003,iq,sensitivity,2,1,within_path_shape,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,iq,sensitivity,2,1,path_energy_composition,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,iq,sensitivity,2,2,within_path_shape,,,,,,,,,,,,,,,,session_repeatability_unavailable
3,1,10am,2,12pm,64.200000000000003,iq,sensitivity,2,2,path_energy_composition,,,,,,,,,,,,,,,,session_repeatability_unavailable
