subject,session_idx,session_name,rel_path,n_raw,n_pass,pass_fraction,fail_fraction,min_pass_existing_qc,eligible_existing_qc,n_fail_any,n_nan_inf,n_flatline,n_low_in_band,n_rms_flagged,rms_flag_fraction_defined,n_nonfinite_raw,block_0_n_pass,block_1_n_pass,block_2_n_pass,block_3_n_pass,block_4_n_pass,minimum_block_n_pass,raw_rms_median,raw_rms_mad,in_band_ratio_median,in_band_ratio_p10,in_band_ratio_p10_margin,energy_retention_median,energy_retention_mad,roi_to_total_median,roi_to_total_mad,peak_share_median,peak_share_mad,peak_bin_median,peak_bin_mad,peak_bin_iqr,peak_bin_mode,peak_bin_mode_share,peak_range_m_median,peak_range_m_mad,component_missing_reasons,audit_status,repeatability_missing_reason
1,0,8am,subject_1_8am.mat,100,35,0.34999999999999998,0.65000000000000002,50,False,65,0,0,65,89,0.89000000000000001,0,1,0,2,15,17,0,17.585538288053151,0.96038793421434576,0.26697924263346506,0.18677573040851453,-0.11322426959148546,0.15891300406825135,0.012708065552539199,0.88502258663330846,0.0070792157148888979,0.4595845336610076,0.0065250619256546627,5,0,0,5,0.97142857142857142,1.4970928426184582,0,{},INELIGIBLE_EXISTING_QC,ineligible_existing_qc
1,1,10am,subject_1_10am.mat,100,98,0.97999999999999998,0.02,50,True,2,0,0,2,89,0.89000000000000001,0,18,20,20,20,20,18,17.585538288053151,0.96038793421434576,0.53795001532984221,0.43334285631580111,0.13334285631580112,0.23160465324156068,0.047394311833718353,0.93148048170743492,0.0049621542077203373,0.47036904543298363,0.0081026455046543377,5,0,0,5,0.98979591836734693,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
1,2,12pm,subject_1_12pm.mat,100,100,1,0,50,True,0,0,0,0,60,0.59999999999999998,0,20,20,20,20,20,20,18.238516645582024,0.47574639413572584,0.68244525838632986,0.62333398906563309,0.3233339890656331,0.40971642606810965,0.035437474084517029,0.95198844802090021,0.00244418322029194,0.50266013421121247,0.0047968286389490356,5,0,0,5,1,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
1,3,2pm,subject_1_2pm.mat,100,100,1,0,50,True,0,0,0,0,91,0.91000000000000003,0,20,20,20,20,20,20,19.694998870961076,0.68463900210269557,0.40408832242802872,0.32833674097135951,0.02833674097135952,0.28019424390677672,0.036669130927908189,0.91480691618165122,0.01039499414511369,0.49345610979141685,0.021829000241001539,6,0,1,6,0.73999999999999999,1.7965114111421496,0,{},REPEATABILITY_ANALYSABLE,
1,4,4pm,subject_1_4pm.mat,100,1,0.01,0.98999999999999999,50,False,99,0,0,99,0,0,0,0,1,0,0,0,0,27.327506781204864,1.2734294279931131,0.22922826976880445,0.16773587150169267,-0.13226412849830732,0.15228608209494465,0,0.92637032797682795,0,0.47777665049874196,0,5,0,0,5,1,1.4970928426184582,0,{},INELIGIBLE_EXISTING_QC,ineligible_existing_qc
2,0,8am,subject_2_8am.mat,100,100,1,0,50,True,0,0,0,0,3,0.029999999999999999,0,20,20,20,20,20,20,32.375467464363339,1.204278601946152,0.34697828607507619,0.31436416118627075,0.014364161186270763,0.26074675529043367,0.011959102375801584,0.90646954663646473,0.0046263350308250462,0.57436534656672034,0.011068635220858658,6,0,0,6,1,1.7965114111421496,0,{},REPEATABILITY_ANALYSABLE,
2,1,10am,subject_2_10am.mat,100,100,1,0,50,True,0,0,0,0,26,0.26000000000000001,0,20,20,20,20,20,20,29.701210966690773,0.72597280324582592,0.69925031137029126,0.67050292499183273,0.37050292499183274,0.46942922116132235,0.017676733097801794,0.91722786418647728,0.002284883002885818,0.54906334301406012,0.0061103443542436797,6,0,0,6,1,1.7965114111421496,0,{},REPEATABILITY_ANALYSABLE,
2,2,12pm,subject_2_12pm.mat,100,100,1,0,50,True,0,0,0,0,76,0.76000000000000001,0,20,20,20,20,20,20,35.377027268963062,2.845582726022382,0.85195822041370761,0.75814459323646621,0.45814459323646622,0.48234701946681602,0.086090593024866546,0.86717042773970854,0.003540381795980152,0.61163773175023395,0.0038949256360882312,4,0,0,4,1,1.1976742740947666,0,{},REPEATABILITY_ANALYSABLE,
2,3,2pm,subject_2_2pm.mat,100,100,1,0,50,True,0,0,0,0,95,0.94999999999999996,0,20,20,20,20,20,20,29.662081693541325,0.99216820411877471,0.68410466657513003,0.59202368556037865,0.29202368556037867,0.49610117875736603,0.047094095207996595,0.90474492413529184,0.005100482948106666,0.57257269156108281,0.012618257510455144,6,0,0,6,1,1.7965114111421496,0,{},REPEATABILITY_ANALYSABLE,
2,4,4pm,subject_2_4pm.mat,100,100,1,0,50,True,0,0,0,0,87,0.87,0,20,20,20,20,20,20,23.614277763803024,1.3348598798724201,0.79095865482158367,0.7303999163944731,0.43039991639447311,0.53423905565964236,0.021945000942680204,0.95170623632196183,0.0022764325906568517,0.49543840529819072,0.0035756644174294583,5,0,0,5,1,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
