subject,session_idx,session_name,rel_path,diagnostic_channel,diagnostic_role,tiling_idx,q1,q2,invariance_ms,scattering_order,view,vector_dimension,n_paths,n_near_zero_path_blocks,n_inactive_paths,epsilon_path,epsilon_distance,session_wobble,usable_block_count,cosine_similarity_median,cosine_similarity_minimum,separation_to_wobble_median,separation_to_wobble_maximum,block_to_session_distance_maximum,max_leave_one_block_influence,pair_cosine_values,pair_distance_numerators,pair_separation_denominators,pair_separation_values,pair_exactly_identical,block_to_session_distances,leave_one_block_numerators,leave_one_block_denominators,leave_one_block_values,leave_one_block_exactly_identical,missing_reason
1,0,8am,subject_1_8am.mat,iq,sensitivity,0,10,4,0.20000000000000001,0,path_energy_composition,1,1,,,,,,0,,,,,,,[],[],[],[],[],[],[],[],[],[],not_applicable_single_path
1,0,8am,subject_1_8am.mat,iq,sensitivity,0,10,4,0.20000000000000001,0,within_path_shape,12,1,,,,,,0,,,,,,,[],[],[],[],[],[],[],[],[],[],ineligible_existing_qc
1,0,8am,subject_1_8am.mat,iq,sensitivity,0,10,4,0.20000000000000001,1,path_energy_composition,55,55,,,,,,0,,,,,,,[],[],[],[],[],[],[],[],[],[],ineligible_existing_qc
1,0,8am,subject_1_8am.mat,iq,sensitivity,0,10,4,0.20000000000000001,1,within_path_shape,660,55,,,,,,0,,,,,,,[],[],[],[],[],[],[],[],[],[],ineligible_existing_qc
1,0,8am,subject_1_8am.mat,iq,sensitivity,0,10,4,0.20000000000000001,2,path_energy_composition,686,686,,,,,,0,,,,,,,[],[],[],[],[],[],[],[],[],[],ineligible_existing_qc
1,0,8am,subject_1_8am.mat,iq,sensitivity,0,10,4,0.20000000000000001,2,within_path_shape,8232,686,,,,,,0,,,,,,,[],[],[],[],[],[],[],[],[],[],ineligible_existing_qc
1,0,8am,subject_1_8am.mat,iq,sensitivity,1,8,2,0.29999999999999999,0,path_energy_composition,1,1,,,,,,0,,,,,,,[],[],[],[],[],[],[],[],[],[],not_applicable_single_path
1,0,8am,subject_1_8am.mat,iq,sensitivity,1,8,2,0.29999999999999999,0,within_path_shape,10,1,,,,,,0,,,,,,,[],[],[],[],[],[],[],[],[],[],ineligible_existing_qc
1,0,8am,subject_1_8am.mat,iq,sensitivity,1,8,2,0.29999999999999999,1,path_energy_composition,54,54,,,,,,0,,,,,,,[],[],[],[],[],[],[],[],[],[],ineligible_existing_qc
1,0,8am,subject_1_8am.mat,iq,sensitivity,1,8,2,0.29999999999999999,1,within_path_shape,540,54,,,,,,0,,,,,,,[],[],[],[],[],[],[],[],[],[],ineligible_existing_qc
1,0,8am,subject_1_8am.mat,iq,sensitivity,1,8,2,0.29999999999999999,2,path_energy_composition,411,411,,,,,,0,,,,,,,[],[],[],[],[],[],[],[],[],[],ineligible_existing_qc
