test_subject,feature_key,family,params
1,"(1, 'tuned')",svr,"{'C': 0.1, 'epsilon': 0.3}"
2,"(1, 'tuned')",knn,{'n_neighbors': 3}
3,"(2, 'frozen')",rf,"{'max_depth': None, 'n_estimators': 300}"
4,"(2, 'frozen')",svr,"{'C': 0.1, 'epsilon': 0.3}"
5,"(2, 'off')",svr,"{'C': 0.1, 'epsilon': 0.3}"
6,"(2, 'frozen')",svr,"{'C': 0.1, 'epsilon': 0.3}"
7,"(2, 'off')",svr,"{'C': 0.1, 'epsilon': 0.3}"
8,"(2, 'off')",svr,"{'C': 0.1, 'epsilon': 0.3}"
9,"(2, 'off')",knn,{'n_neighbors': 7}
10,"(2, 'off')",knn,{'n_neighbors': 5}
11,"(1, 'tuned')",svr,"{'C': 1.0, 'epsilon': 0.3}"
12,"(2, 'off')",svr,"{'C': 1.0, 'epsilon': 0.3}"
13,"(1, 'tuned')",knn,{'n_neighbors': 15}
14,"(1, 'off')",knn,{'n_neighbors': 7}
15,"(1, 'tuned')",knn,{'n_neighbors': 3}
16,"(2, 'off')",knn,{'n_neighbors': 5}
