subject,session_idx,session_name,n_eligible_frames,t0_prelog_order0,t0_prelog_order1,t0_prelog_order2,t1_prelog_order0,t1_prelog_order1,t1_prelog_order2,t2_prelog_order0,t2_prelog_order1,t2_prelog_order2,all_variants_finite,wst_seconds
1,1,10am,98,0.02391176756181635,0.0008955508246399492,2.348166274048846e-06,0.016024921430141264,0.0013094390481621406,7.328621671994646e-06,0.017459898594436217,0.0015104872103631382,1.2670549408405756e-05,True,10.151724499999546
1,2,12pm,100,-0.02551636646213489,0.0006430127338159621,1.820082790238069e-06,-0.022189823096336235,0.000978090267100823,5.592595303657435e-06,-0.01671695779507848,0.001164188615530858,9.62680953878614e-06,True,9.554109099990455
1,3,2pm,100,-0.026315724724536776,0.000903049092064088,1.6979605763528494e-06,-0.027093395917411372,0.0012226274220342075,5.015378008147494e-06,-0.027271625985087394,0.001367429042915709,8.50285444717346e-06,True,11.237193099994329
2,0,8am,100,-0.07449202487350895,0.0008527753160896516,1.2715279111510473e-06,-0.0712298815013842,0.0011474135890871266,3.836391491929731e-06,-0.06735276736054326,0.001261463952313854,6.440543017704247e-06,True,11.634297399999923
2,1,10am,100,-0.09553673737011535,0.0007824566990983214,1.2203795983080346e-06,-0.08587211130017605,0.0011138858406921893,3.735196043930921e-06,-0.07373792308342626,0.0012309141574816107,6.399687242697022e-06,True,11.71175060000678
2,2,12pm,100,-0.03733596273963902,0.0006626703918488361,2.265622382374773e-06,-0.02497177831396625,0.0010516365191279974,7.01791295389372e-06,-0.009579785439959857,0.0012839157407186284,1.2136680650208468e-05,True,10.130287300009513
2,3,2pm,100,-0.04258607411902108,0.0008261549888007689,1.2127916032664454e-06,-0.04099964640391334,0.0011383518897066748,3.7085591117509955e-06,-0.038463327279658836,0.0012655855392051595,6.237109912385265e-06,True,12.278114000000642
2,4,4pm,100,-0.12094449230902182,0.0006899857559869604,1.5386734745999764e-06,-0.11400514702509049,0.0010412140453360489,4.723451443080336e-06,-0.10519303386553752,0.001198099854357472,8.147314715476698e-06,True,10.732291899999836
3,0,8am,100,-0.06733950500403973,0.0006711870380810319,1.645216158699917e-06,-0.057642193925593305,0.0010095406604514155,5.072307528124725e-06,-0.04601476910750096,0.001167619991795545,8.739429697067091e-06,True,12.154634799997439
3,2,12pm,99,-0.04835052235933544,0.0007047803399562585,1.934687392410258e-06,-0.04260989847354278,0.001053985745958949,5.931034280686938e-06,-0.03668847614024737,0.0012461912369817162,1.0211202971451049e-05,True,12.613819599995622
3,3,2pm,100,-0.09799203421019007,0.0006557104359615688,1.4514735908305674e-06,-0.08976791722565024,0.0009834372155581596,4.432261924240056e-06,-0.07968812663169754,0.001150527819025579,7.6022480322902235e-06,True,9.736914100009017
3,4,4pm,100,-0.07908825673259307,0.0006563501690289022,1.5285720659963944e-06,-0.07067164004324913,0.0009603314901690383,4.677252814144894e-06,-0.06047244239848952,0.0011210038803627829,8.024419023355635e-06,True,10.397258400000283
4,0,8am,96,-0.10670803432951356,0.0007851035515063448,1.5480756215577204e-06,-0.09727125917894931,0.001140268121559575,4.790035610655739e-06,-0.0852597243011877,0.0012965981585704436,8.233342920419471e-06,True,10.083855200005928
4,1,10am,97,-0.11012308084390243,0.0007603705261377779,1.215251883956148e-06,-0.10630948809261156,0.0010599383505816738,3.689226781404154e-06,-0.10203100675770937,0.0011818090079637605,6.235695454270302e-06,True,8.770653600004152
4,2,12pm,66,-0.007281943719675743,0.0009126986034827817,9.411431745530086e-07,-0.007948903941094152,0.0011484581437722556,2.7542129226229126e-06,-0.008955250959807162,0.0012740313706076606,4.487459191159764e-06,True,7.154867899997043
4,4,4pm,92,-0.08897821940769081,0.0007821329100082418,1.5643945416744955e-06,-0.08150393250526518,0.0010831166642372692,4.788723419782036e-06,-0.07341643516910386,0.0012353899689612337,8.168563651245266e-06,True,8.453413899987936
5,0,8am,100,0.04335045312182083,0.00105805001137238,1.715181226191598e-06,0.04698707895673114,0.0014387940982535598,5.325215657269344e-06,0.047915443330663866,0.0015817423538586337,8.994035277943695e-06,True,10.344150300006731
5,1,10am,100,0.009570736989253719,0.0008413303909077349,2.0490905798638248e-06,0.024169117792606814,0.0012184402032395852,6.45323950448996e-06,0.04136284218658845,0.001399396116013385,1.1173675449290254e-05,True,10.722208499995759
5,2,12pm,100,0.0891804724539581,0.001015380268515183,1.83268187438356e-06,0.09101854287179278,0.0013600948190626578,5.678689469372126e-06,0.09132141728641377,0.0014865685045415303,9.674254682439027e-06,True,9.203354600002058
5,4,4pm,100,-0.025454370833858354,0.0010696149902666564,1.9972711720240184e-06,-0.015450113678556891,0.0014383502351662223,6.184343056128279e-06,-0.0016002076730835453,0.0016610635879924806,1.0647256193695242e-05,True,10.75289000000339
6,1,10am,100,-0.0331599349767157,0.0006809719691001804,1.6203074668858802e-06,-0.025492690681748247,0.0010357847494751058,5.005718385244171e-06,-0.014831052023503587,0.0012005055804063171,8.649934888817224e-06,True,10.047176000007312
6,2,12pm,100,-0.010900762774732165,0.0007011965604455056,1.436932992706218e-06,-0.0018283921330557859,0.0010283277894902862,4.4087118334909105e-06,0.010237835576622046,0.0011678866306957317,7.596044400457469e-06,True,8.948111100005917
6,3,2pm,100,-0.08041101146959771,0.0006735947411709094,1.5617867336875753e-06,-0.07357673592679981,0.0010033720716176944,4.799255240165999e-06,-0.06501779132617076,0.0011672271286054855,8.255472900903385e-06,True,10.358893700002227
6,4,4pm,100,0.015551599514419222,0.0006978749162770985,1.7450303405268485e-06,0.013275265656420404,0.001022997350173625,5.32389078308894e-06,0.011586231958034135,0.0012047916885371372,9.135060739318241e-06,True,11.368843899996136
7,0,8am,100,-0.046912822278691396,0.0007490025413854413,1.8913774423827328e-06,-0.044988461005928126,0.001097022475893299,5.863472395608887e-06,-0.041367347863733514,0.001275275219122044,1.0124403219701613e-05,True,9.256687500004773
